story,interleaved-step1,interleaved-step2,interleaved_rep-step1,interleaved_rep-step2,blocked-step1,blocked-step2,blocked_rep-step1,blocked_rep-step2,explicit_interleaved-step1,explicit_interleaved-step2,inserted_early-step1,inserted_early-step2,inserted_early_rep-step1,inserted_early_rep-step2,inserted_middle-step1,inserted_middle-step2,inserted_middle_rep-step1,inserted_middle_rep-step2,inserted_late-step1,inserted_late-step2,inserted_late_rep-step1,inserted_late_rep-step2
90,0.4782608695652174,0.75,0.7222222222222222,0.6111111111111112,0.9655172413793104,0.9047619047619048,1.0,0.95,0.5185185185185185,0.5769230769230769,0.9375,0.7647058823529411,0.9411764705882353,0.875,0.7142857142857143,0.8181818181818182,0.5789473684210527,0.5555555555555556,0.7,0.9473684210526315,0.9,0.6
91,0.6818181818181818,0.35,0.6111111111111112,0.85,0.9166666666666666,0.896551724137931,1.0,0.8888888888888888,0.56,0.7083333333333334,0.7857142857142857,0.9230769230769231,0.8823529411764706,0.9411764705882353,0.7333333333333333,0.7647058823529411,0.8235294117647058,0.9411764705882353,0.5263157894736842,0.8095238095238095,0.625,0.7142857142857143
92,0.6363636363636364,0.7391304347826086,0.5294117647058824,0.6666666666666666,0.92,0.84,1.0,0.9565217391304348,0.6785714285714286,0.9090909090909091,0.9333333333333333,0.8125,1.0,0.9230769230769231,0.6111111111111112,0.75,0.7222222222222222,0.6666666666666666,0.5,0.85,0.7,0.7
93,0.64,0.6190476190476191,0.35294117647058826,0.631578947368421,0.9583333333333334,0.9230769230769231,0.9444444444444444,1.0,0.7083333333333334,0.56,0.9375,0.9333333333333333,0.9285714285714286,0.9375,0.8571428571428571,0.8125,0.625,0.6470588235294118,0.6842105263157895,0.8333333333333334,0.7142857142857143,0.875
94,0.5769230769230769,0.65,0.7142857142857143,0.7894736842105263,0.9230769230769231,1.0,0.9047619047619048,1.0,0.5909090909090909,0.8,0.9375,0.8666666666666667,0.9285714285714286,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.6086956521739131,0.9411764705882353,0.6875,0.7058823529411765,0.5,0.7
95,0.5185185185185185,0.8,0.5,0.7333333333333333,0.9230769230769231,0.9629629629629629,0.9523809523809523,0.9473684210526315,0.625,0.5833333333333334,0.8125,0.7857142857142857,1.0,1.0,0.625,0.6428571428571429,0.5882352941176471,0.631578947368421,0.7,0.7727272727272727,0.7142857142857143,0.8333333333333334
96,0.6363636363636364,0.6521739130434783,0.6818181818181818,0.7222222222222222,0.875,0.9642857142857143,0.9444444444444444,1.0,0.5652173913043478,0.75,1.0,0.8461538461538461,1.0,1.0,0.6875,0.9166666666666666,0.6,0.7647058823529411,0.9411764705882353,0.8,0.7272727272727273,1.0
97,0.6086956521739131,0.6071428571428571,0.5714285714285714,0.7777777777777778,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.9473684210526315,0.6666666666666666,0.5555555555555556,0.8,0.8666666666666667,0.8666666666666667,0.8947368421052632,0.7333333333333333,0.6875,0.6153846153846154,0.9230769230769231,0.8333333333333334,0.85,0.5714285714285714,0.7777777777777778
98,0.6666666666666666,0.56,0.6842105263157895,0.5,0.8846153846153846,0.9583333333333334,1.0,1.0,0.47619047619047616,0.75,1.0,1.0,0.9444444444444444,1.0,0.75,0.7333333333333333,0.7391304347826086,0.75,0.5789473684210527,0.7647058823529411,0.6666666666666666,0.7
99,0.6666666666666666,0.7241379310344828,0.5,0.6111111111111112,0.9583333333333334,0.9333333333333333,1.0,1.0,0.8947368421052632,0.6666666666666666,0.9333333333333333,0.8947368421052632,0.9411764705882353,0.9473684210526315,0.7857142857142857,0.6875,0.75,0.875,0.7894736842105263,0.8333333333333334,1.0,0.8571428571428571
100,0.7391304347826086,0.68,0.7894736842105263,0.7619047619047619,0.8461538461538461,0.9130434782608695,0.9444444444444444,0.95,0.7083333333333334,0.7142857142857143,0.9411764705882353,0.7333333333333333,0.9444444444444444,0.875,0.8,0.8,0.5789473684210527,0.85,0.75,0.8947368421052632,0.8,0.8
101,0.5,0.65,0.4666666666666667,0.4375,0.92,0.9545454545454546,1.0,0.9473684210526315,0.7391304347826086,0.7391304347826086,0.9285714285714286,0.7894736842105263,0.8888888888888888,0.8666666666666667,0.875,0.5333333333333333,0.5333333333333333,0.8421052631578947,0.6521739130434783,0.8823529411764706,0.7272727272727273,0.6363636363636364
102,0.6190476190476191,0.6538461538461539,0.45,0.6666666666666666,0.9047619047619048,0.9583333333333334,0.9444444444444444,1.0,0.7692307692307693,0.7083333333333334,0.7777777777777778,0.9444444444444444,0.8571428571428571,0.9333333333333333,0.9285714285714286,0.8666666666666667,0.8421052631578947,0.8235294117647058,0.7272727272727273,0.8333333333333334,0.75,0.7272727272727273
103,0.6521739130434783,0.72,0.5,0.6,0.8333333333333334,1.0,0.95,1.0,0.8235294117647058,0.8333333333333334,1.0,0.9230769230769231,0.8947368421052632,0.9444444444444444,0.7142857142857143,0.9166666666666666,0.6842105263157895,0.8571428571428571,0.631578947368421,0.8125,0.5714285714285714,0.6666666666666666
104,0.7407407407407407,0.6086956521739131,0.5652173913043478,0.8333333333333334,0.9230769230769231,0.9629629629629629,0.9523809523809523,0.9545454545454546,0.6086956521739131,0.6521739130434783,0.8421052631578947,0.8947368421052632,0.7692307692307693,0.8181818181818182,0.75,0.9285714285714286,0.7368421052631579,0.8571428571428571,0.8571428571428571,0.9375,0.7272727272727273,0.7272727272727273
105,0.6785714285714286,0.5909090909090909,0.47619047619047616,0.6666666666666666,0.9130434782608695,0.9230769230769231,0.9130434782608695,0.9583333333333334,0.6,0.6923076923076923,0.8823529411764706,0.8947368421052632,0.9411764705882353,1.0,0.8,0.9333333333333333,0.7058823529411765,0.7619047619047619,0.8235294117647058,0.9444444444444444,0.6666666666666666,0.625
106,0.5833333333333334,0.782608695652174,0.4375,0.7058823529411765,0.9130434782608695,0.92,0.9090909090909091,0.9473684210526315,0.5789473684210527,0.68,1.0,0.8571428571428571,0.7647058823529411,0.8333333333333334,0.46153846153846156,0.7692307692307693,0.7222222222222222,0.8421052631578947,0.8,0.8947368421052632,0.8,0.8571428571428571
107,0.6956521739130435,0.5416666666666666,0.5714285714285714,0.5,0.8888888888888888,0.9130434782608695,0.9375,0.9523809523809523,0.68,0.5,0.8,0.7647058823529411,0.7619047619047619,0.7857142857142857,0.5294117647058824,0.9230769230769231,0.7619047619047619,0.7058823529411765,0.9375,0.8571428571428571,0.75,0.75
108,0.5909090909090909,0.7272727272727273,0.65,0.875,0.9259259259259259,0.8928571428571429,1.0,1.0,0.6363636363636364,0.7391304347826086,0.875,1.0,0.9047619047619048,0.9333333333333333,0.8666666666666667,0.875,0.7222222222222222,0.7894736842105263,0.7692307692307693,0.9411764705882353,0.75,0.8571428571428571
109,0.6956521739130435,0.75,0.5,0.7368421052631579,0.92,0.8888888888888888,0.8947368421052632,0.8333333333333334,0.631578947368421,0.6190476190476191,0.9333333333333333,0.7142857142857143,1.0,0.9473684210526315,0.7777777777777778,0.8,0.6111111111111112,0.8,0.8235294117647058,0.7647058823529411,0.7777777777777778,0.9
110,0.6086956521739131,0.7727272727272727,0.5789473684210527,0.5,0.8888888888888888,1.0,1.0,1.0,0.5555555555555556,0.88,0.875,0.9333333333333333,0.9411764705882353,0.9230769230769231,0.6875,0.8666666666666667,0.75,0.8333333333333334,0.8888888888888888,0.875,0.7777777777777778,0.7
111,0.6086956521739131,0.7083333333333334,0.5263157894736842,0.55,0.9130434782608695,0.9523809523809523,1.0,1.0,0.6,0.6923076923076923,0.8888888888888888,0.7142857142857143,0.9333333333333333,0.9090909090909091,0.6923076923076923,0.8461538461538461,0.9333333333333333,0.7777777777777778,0.631578947368421,0.9411764705882353,1.0,0.9090909090909091
112,0.6538461538461539,0.6551724137931034,0.6428571428571429,0.625,0.9166666666666666,0.9473684210526315,0.9375,0.875,0.6666666666666666,0.64,0.9444444444444444,0.8666666666666667,0.9333333333333333,0.8461538461538461,1.0,0.8823529411764706,0.8666666666666667,0.8888888888888888,0.8125,0.8666666666666667,0.8888888888888888,0.8333333333333334
113,0.5,0.8260869565217391,0.45,0.8,1.0,0.92,1.0,0.9,0.64,0.5833333333333334,0.7647058823529411,0.875,0.9444444444444444,0.95,0.8823529411764706,0.7647058823529411,0.7222222222222222,0.7,0.8823529411764706,0.85,0.8,0.6666666666666666
114,0.6521739130434783,0.625,0.75,0.9411764705882353,0.9047619047619048,1.0,0.9473684210526315,0.9047619047619048,0.6,0.7,0.8125,0.9411764705882353,1.0,0.8571428571428571,0.7647058823529411,0.8235294117647058,0.6470588235294118,0.7222222222222222,0.8125,0.7,0.7272727272727273,0.625
115,0.5833333333333334,0.6206896551724138,0.6875,0.7619047619047619,0.88,1.0,0.9545454545454546,1.0,0.7692307692307693,0.6428571428571429,0.9333333333333333,0.9285714285714286,1.0,0.8666666666666667,0.8235294117647058,0.6875,0.6666666666666666,0.8333333333333334,0.8,0.9444444444444444,0.75,0.9090909090909091
116,0.7142857142857143,0.6666666666666666,0.6111111111111112,0.6470588235294118,0.9090909090909091,1.0,1.0,0.9166666666666666,0.6363636363636364,0.7727272727272727,0.8,0.8235294117647058,0.8333333333333334,0.75,0.75,0.875,0.8823529411764706,0.8666666666666667,1.0,0.9411764705882353,0.9,0.6
117,0.7037037037037037,0.5714285714285714,0.7647058823529411,0.55,0.92,0.9166666666666666,0.9444444444444444,1.0,0.52,0.5454545454545454,0.7692307692307693,0.8461538461538461,1.0,0.8421052631578947,0.8666666666666667,0.9285714285714286,0.5789473684210527,0.7142857142857143,0.95,0.8888888888888888,0.7,0.75
118,0.7391304347826086,0.7272727272727273,0.6111111111111112,0.7894736842105263,0.9259259259259259,0.875,1.0,1.0,0.5555555555555556,0.9259259259259259,0.9333333333333333,0.9411764705882353,0.8571428571428571,0.9444444444444444,0.6363636363636364,0.8461538461538461,0.75,0.7647058823529411,0.8125,0.875,0.6666666666666666,0.8888888888888888
119,0.7222222222222222,0.64,0.5,0.631578947368421,0.9230769230769231,0.9166666666666666,0.95,0.96,0.6,0.7222222222222222,1.0,0.9375,0.9375,0.8235294117647058,0.9285714285714286,0.75,0.8125,0.7368421052631579,0.7222222222222222,0.7727272727272727,0.9090909090909091,1.0
120,0.6521739130434783,0.7,0.45,0.6875,0.44,0.7857142857142857,0.6666666666666666,0.6842105263157895,0.8333333333333334,0.6818181818181818,0.7647058823529411,0.75,0.8571428571428571,1.0,0.7857142857142857,0.8,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.7692307692307693,0.5,1.0
121,0.5652173913043478,0.6521739130434783,0.6111111111111112,0.7058823529411765,0.7666666666666667,0.8695652173913043,0.9047619047619048,0.9473684210526315,0.5294117647058824,0.6666666666666666,0.8571428571428571,0.8666666666666667,0.75,1.0,0.5625,0.42857142857142855,0.631578947368421,0.6875,0.6842105263157895,0.7647058823529411,0.2857142857142857,0.7777777777777778
